"ProductID,ProductName,Category,Brand,UnitPrice,CostPrice"
"P001,Smartphone A1,Mobile,Samsung,18999,14000"
"P002,Smartphone B2,Mobile,Apple,59999,45000"
"P003,Smartphone C3,Mobile,Xiaomi,12999,9000"
"P004,Wireless Earbuds,Earphones,Boat,1999,1100"
"P005,Noise Cancelling Headphones,Audio,Sony,12999,8500"
"P006,Laptop Pro 14,Laptop,Dell,58999,45000"
"P007,Gaming Laptop X15,Laptop,Asus,89999,72000"
"P008,LED TV 43"",TV,LG,32999,26000"
"P009,LED TV 55"",TV,Samsung,49999,39000"
"P010,Bluetooth Speaker,Audio,JBL,3499,2500"
"P011,Running Shoes,Sports,Adidas,2999,1500"
"P012,Formal Shoes,Fashion,Bata,1999,1200"
"P013,T-shirt Casual,Clothing,Levis,999,450"
"P014,Hoodie Men,Clothing,Nike,2499,1500"
"P015,Wrist Watch,Accessories,Fossil,6999,4300"
"P016,Air Fryer,Kitchen,Philips,7999,5500"
"P017,Microwave Oven,Kitchen,LG,10999,8000"
"P018,Blender Pro,Kitchen,Prestige,2499,1500"
"P019,Office Chair,Home,GreenSoul,8999,5800"
"P020,Study Table,Home,UrbanLadder,4999,3200"
"P021,Ceiling Lamp,Home Decor,Philips,2499,1400"
"P022,Table Lamp,Home Decor,IKEA,1499,800"
"P023,Cookware Set 5pc,Kitchen,Hawkins,1999,1200"
"P024,Hair Dryer,Personal Care,Philips,1299,700"
"P025,Trimmer Series X,Personal Care,Mi,999,500"
"P026,Refrigerator 250L,Appliances,Samsung,21999,17000"
"P027,Washing Machine 7kg,Appliances,LG,24999,19000"
"P028,Vacuum Cleaner,Appliances,Eureka Forbes,5999,3800"
"P029,Smartwatch Fit,Electronics,Realme,3999,2500"
"P030,Power Bank 20000mAh,Electronics,Ambrane,1499,800"
"P031,USB-C Charger 25W,Electronics,Samsung,999,400"
"P032,Wireless Mouse,Electronics,Logitech,799,400"
"P033,Mechanical Keyboard,Electronics,HP,2999,1500"
"P034,Table Fan,Home,Bajaj,1499,900"
"P035,Induction Cooktop,Kitchen,Prestige,2499,1500"
"P036,Electric Kettle 1.5L,Kitchen,Havells,1299,700"
"P037,Smart LED Bulb,Home Decor,Philips,699,250"
"P038,Car Vacuum Cleaner,Automobile,Bergmann,1799,900"
"P039,Tyre Inflator Pro,Automobile,Michelin,2499,1500"
"P040,Dash Camera HD,Automobile,Akaso,4999,3000"
